case_id,scope,input,expected,source_note
meal_4h59,basic,"duration=4.99h; meals=0",0,"No standard domestic meal allowance below 5h"
meal_5h,basic,"duration=5h; meals=0",155,"2026 minimum private-sector band 5-12h"
meal_12h,basic,"duration=12h; meals=0",155,"Exactly 12h remains first band"
meal_12h01,basic,"duration=12.01h; meals=0",236,"Above 12h enters second band"
meal_18h,basic,"duration=18h; meals=0",236,"Exactly 18h remains second band"
meal_18h01,basic,"duration=18.01h; meals=0",370,"Above 18h enters third band"
meal_reduction_10h_1,basic,"duration=10h; meals=1; rate=155",46.5,"70% reduction of first-band allowance"
meal_reduction_15h_1,basic,"duration=15h; meals=1; rate=236",153.4,"35% reduction of second-band allowance"
meal_reduction_20h_1,basic,"duration=20h; meals=1; rate=370",277.5,"25% reduction of third-band allowance"
meal_reduction_floor,basic,"duration=10h; meals=3; rate=155",0,"Reduction is capped at base allowance; result cannot be negative"
two_day_short,advanced,"day1=4.5h;day2=4.5h;meals=0+0",155,"Separate=0; combined 9h=155; §163(4) use more favorable combined assessment"
two_day_combined_wins,advanced,"day1=9h;day2=10h;meals=0+0",370,"Separate=310; combined 19h=370; use combined"
two_day_separate_wins,advanced,"day1=10h;day2=15h;meals=0+0",391,"Separate=155+236=391; combined 25h=370; keep separate"
two_day_meals,advanced,"day1=10h meals=1;day2=17.5h meals=2",117.3,"Separate 46.5+70.8=117.3; combined 27.5h with 3 meals=92.5; keep separate"
km_car_100,basic,"vehicle=car;km=100",590,"2026 basic reimbursement 5.90 CZK/km"
km_motorcycle_100,basic,"vehicle=motorcycle;km=100",160,"2026 basic reimbursement 1.60 CZK/km"
fuel_gas95_100,basic,"km=100;consumption=6l/100;fuel=gas95;official_price=34.70",208.2,"6*34.70"
fuel_electric_100,basic,"km=100;consumption=18kWh/100;fuel=electric;official_price=7.20",129.6,"18*7.20"
diesel_before_june,advanced,"start=2026-05-31;fuel=diesel",34.1,"Official 2026 diesel price before 1 June"
diesel_from_june,advanced,"start=2026-06-01;fuel=diesel",44.5,"Decree 78/2026 effective 1 June 2026"
public_transport,basic,"transport=public;ticket=420;other=0",420,"Reimbursement follows documented fare input"
advance_doplatek,advanced,"total=2000;advance=1500",500,"balance=total-advance"
advance_vratka,advanced,"total=1200;advance=1500",-300,"negative balance means employee returns difference"
